iter	Passed	Remaining
133	1979	12792
134	1994	12778
135	2006	12746
136	2020	12727
137	2033	12703
138	2047	12683
139	2060	12659
140	2073	12632
141	2087	12612
142	2101	12592
143	2115	12575
144	2128	12552
145	2141	12528
146	2154	12504
147	2168	12481
148	2182	12464
149	2196	12446
150	2209	12422
151	2222	12398
152	2236	12379
153	2250	12363
154	2264	12342
155	2279	12335
156	2305	12380
157	2329	12413
158	2344	12402
159	2358	12384
160	2371	12357
161	2384	12334
162	2398	12315
163	2412	12295
164	2425	12272
165	2439	12257
166	2456	12253
167	2469	12231
168	2488	12234
169	2502	12216
170	2514	12189
171	2527	12168
172	2540	12146
173	2553	12123
174	2567	12103
175	2585	12103
176	2599	12087
177	2612	12065
178	2629	12062
179	2643	12042
180	2660	12038
181	2673	12014
182	2690	12009
183	2704	11991
184	2718	11976
185	2730	11949
186	2745	11937
187	2760	11924
188	2775	11908
189	2791	11899
190	2805	11882
191	2818	11860
192	2831	11838
193	2845	11820
194	2859	11805
195	2876	11800
196	2900	11823
197	2917	11818
198	2929	11791
199	2942	11771
200	2956	11753
201	2969	11732
202	2984	11717
203	2996	11693
204	3015	11696
205	3029	11677
206	3043	11658
207	3057	11642
208	3069	11617
209	3083	11598
210	3095	11574
211	3111	11563
212	3124	11544
213	3138	11525
214	3166	11561
215	3180	11543
216	3193	11523
217	3212	11523
218	3226	11506
219	3242	11495
220	3256	11477
221	3271	11466
222	3291	11469
223	3310	11469
224	3333	11481
225	3345	11457
226	3359	11438
227	3373	11423
228	3386	11402
229	3403	11394
230	3417	11378
231	3432	11364
232	3446	11346
233	3465	11343
234	3479	11327
235	3492	11305
236	3505	11285
237	3519	11267
238	3533	11251
239	3546	11231
240	3560	11212
241	3575	11198
242	3589	11182
243	3604	11168
244	3618	11150
245	3635	11142
246	3660	11159
247	3674	11140
248	3688	11125
249	3701	11104
250	3717	11092
251	3732	11079
252	3746	11061
253	3759	11042
254	3773	11025
255	3785	11002
256	3799	10983
257	3811	10963
258	3825	10945
259	3839	10928
260	3852	10908
261	3866	10892
262	3879	10870
263	3893	10853
264	3906	10834
265	3919	10816
266	3934	10800
267	3947	10780
268	3961	10765
269	3974	10745
270	3987	10726
271	4001	10709
272	4015	10692
273	4028	10673
274	4041	10655
275	4054	10636
276	4068	10618
277	4080	10596
278	4094	10580
279	4108	10564
280	4122	10547
281	4136	10532
282	4149	10513
283	4162	10495
284	4176	10478
285	4201	10488
286	4219	10481
287	4234	10469
288	4248	10452
289	4262	10436
290	4276	10418
291	4289	10401
292	4303	10383
293	4317	10368
294	4331	10352
295	4345	10335
296	4359	10318
297	4372	10300
298	4386	10284
299	4399	10264
300	4411	10245
301	4425	10229
302	4438	10211
303	4454	10198
304	4472	10192
305	4486	10175
306	4502	10164
307	4516	10146
308	4530	10130
309	4544	10114
310	4557	10096
311	4569	10077
312	4591	10077
313	4604	10060
314	4618	10043
315	4633	10028
316	4647	10012
317	4663	10000
318	4676	9982
319	4689	9965
320	4705	9952
321	4720	9939
322	4734	9923
323	4747	9905
324	4761	9888
325	4774	9872
326	4789	9857
327	4801	9836
328	4815	9820
329	4829	9804
330	4841	9786
331	4861	9781
332	4899	9814
333	4916	9804
334	4930	9787
335	4944	9771
336	4962	9762
337	4976	9746
338	4989	9728
339	5001	9708
340	5014	9689
341	5028	9674
342	5042	9659
343	5056	9642
344	5070	9626
345	5083	9609
346	5097	9593
347	5111	9576
348	5124	9558
349	5138	9542
350	5152	9526
351	5164	9507
352	5178	9491
353	5192	9475
354	5205	9458
355	5233	9466
356	5249	9455
357	5263	9439
358	5278	9425
359	5292	9408
360	5305	9391
361	5321	9377
362	5333	9360
363	5347	9343
364	5360	9326
365	5374	9309
366	5387	9292
367	5400	9274
368	5414	9259
369	5428	9242
370	5441	9225
371	5461	9219
372	5475	9204
373	5490	9190
374	5503	9171
375	5517	9157
376	5531	9140
377	5546	9126
378	5559	9109
379	5575	9096
380	5589	9080
381	5602	9064
382	5617	9049
383	5632	9035
384	5646	9019
385	5659	9003
386	5674	8988
387	5690	8976
388	5703	8959
389	5718	8944
390	5732	8928
391	5746	8913
392	5761	8898
393	5774	8881
394	5788	8865
395	5801	8848
396	5815	8833
397	5828	8816
398	5843	8801
399	5857	8785
400	5870	8768
401	5883	8752
402	5896	8735
403	5911	8721
404	5924	8704
405	5939	8689
